UserID,ProductID,ProductCategory,ProductBrand,ProductPrice,CustomerAge,CustomerGender,PurchaseFrequency,CustomerSatisfaction,PurchaseIntent
UID00001,6236,Headphones,Samsung,2559.70972,56,1,7,2,1
UID00001,14739,Headphones,HP,802.5180818,56,1,10,1,0
UID00001,14566,Laptops,Apple,534.7861979,56,1,19,4,0
UID00001,13827,Laptops,HP,1830.287309,56,1,15,3,1
UID00001,13784,Smartphones,Apple,773.8952431,56,1,15,3,0
UID00001,12864,Laptops,Other Brands,2972.042084,56,1,9,5,1
UID00001,12509,Smartphones,HP,398.9078983,56,1,5,3,0
UID00001,12159,Tablets,Sony,2693.339593,56,1,12,1,1
UID00001,11940,Headphones,Apple,2987.594331,56,1,4,4,1
UID00001,11491,Smart Watches,HP,1795.479727,56,1,8,2,0
UID00001,11288,Smartphones,Apple,1054.97767,56,1,1,1,1
UID00001,11243,Smartphones,Samsung,2944.984099,56,1,13,3,0
UID00001,11076,Smartphones,HP,448.8259474,56,1,18,4,1
UID00001,10941,Headphones,Samsung,1411.167573,56,1,8,4,1
UID00001,10809,Laptops,Other Brands,2982.866161,56,1,19,5,1
UID00001,10802,Tablets,Apple,1189.125006,56,1,8,5,0
UID00001,11334,Laptops,Sony,1820.268685,56,1,8,4,1
UID00001,9303,Smartphones,Samsung,434.0095416,56,1,16,1,1
UID00001,10111,Headphones,Sony,950.021375,56,1,2,4,1
UID00001,6434,Smartphones,Apple,637.1456801,56,1,18,2,0
UID00001,6498,Smartphones,Samsung,2357.135689,56,1,10,2,0
UID00001,6573,Tablets,HP,603.0465639,56,1,4,2,0
UID00001,6693,Smart Watches,Sony,2429.665678,56,1,9,1,0
UID00001,6721,Tablets,Apple,508.9536855,56,1,5,1,1
UID00001,6827,Laptops,Samsung,1582.883622,56,1,13,4,1
UID00001,6410,Headphones,HP,1114.214988,56,1,18,4,1
UID00001,7513,Headphones,Apple,533.9392678,56,1,5,1,0
UID00001,7559,Laptops,Other Brands,2316.751061,56,1,1,5,1
UID00001,8400,Headphones,Apple,817.9527043,56,1,19,4,1
UID00001,8557,Laptops,Apple,1372.347158,56,1,17,2,0
UID00001,8800,Headphones,Other Brands,1878.248947,56,1,7,5,1
UID00001,7494,Laptops,Sony,323.4016146,56,1,11,2,0
UID00002,11726,Smartphones,HP,222.4114801,37,1,4,4,1
UID00002,12304,Smart Watches,HP,611.8385396,37,1,13,4,1
UID00002,12455,Headphones,HP,1814.889543,37,1,19,2,0
